Value,Disaggregation combinations using this value,Number of indicators
Abla,7,7
Abrucena,7,7
Adamuz,7,7
Adra,7,7
Agrón,7,7
Aguadulce,7,7
Aguilar de la Frontera,7,7
Alájar,7,7
Alameda,7,7
Alamedilla,7,7
Alanís,7,7
Albaida del Aljarafe,7,7
Albanchez de Mágina,7,7
Albanchez,7,7
Alboloduy,7,7
Albolote,7,7
Albondón,7,7
Albox,7,7
Albuñán,7,7
Albuñol,7,7
Albuñuelas,7,7
Alcalá de Guadaíra,7,7
Alcalá de los Gazules,7,7
Alcalá del Río,7,7
Alcalá del Valle,7,7
Alcalá la Real,7,7
Alcaracejos,7,7
Alcaucín,7,7
Alcaudete,7,7
Alcolea del Río,7,7
Alcolea,7,7
Alcóntar,7,7
Alcudia de Monteagud,7,7
Aldeaquemada,7,7
Aldeire,7,7
Alfacar,7,7
Alfarnate,7,7
Alfarnatejo,7,7
Algaba (La),4,4
"Algaba, La",3,3
Algámitas,7,7
Algar,7,7
Algarinejo,7,7
Algarrobo,7,7
Algatocín,7,7
Algeciras,7,7
Algodonales,7,7
Alhabia,7,7
Alhama de Almería,7,7
Alhama de Granada,7,7
Alhaurín de la Torre,7,7
Alhaurín el Grande,7,7
Alhendín,7,7
Alicún de Ortega,7,7
Alicún,7,7
Aljaraque,7,7
Almáchar,7,7
Almadén de la Plata,7,7
Almargen,7,7
Almedinilla,7,7
Almegíjar,7,7
Almendro (El),4,4
"Almendro, El",3,3
Almensilla,7,7
Almería,7,7
Almócita,7,7
Almodóvar del Río,7,7
Almogía,7,7
Almonaster la Real,7,7
Almonte,7,7
Almuñécar,7,7
Álora,7,7
Alosno,7,7
Alozaina,7,7
Alpandeire,7,7
Alpujarra de la Sierra,7,7
Alquife,7,7
Alsodux,7,7
Andújar,7,7
Añora,7,7
Antas,7,7
Antequera,7,7
Aracena,7,7
Arahal,7,7
Arboleas,7,7
Árchez,7,7
Archidona,7,7
Arcos de la Frontera,7,7
Ardales,7,7
Arenas del Rey,7,7
Arenas,7,7
Arjona,7,7
Arjonilla,7,7
Armilla,7,7
Armuña de Almanzora,7,7
Aroche,7,7
Arquillos,7,7
Arriate,7,7
Arroyo del Ojanco,7,7
Arroyomolinos de León,7,7
Atajate,7,7
Atarfe,7,7
Ayamonte,7,7
Aznalcázar,7,7
Aznalcóllar,7,7
Bacares,7,7
Badolatosa,7,7
Baena,7,7
Baeza,7,7
Bailén,7,7
Balanegra,7,7
Baños de la Encina,7,7
Barbate,7,7
Barrios (Los),4,4
"Barrios, Los",3,3
Bayárcal,7,7
Bayarque,7,7
Baza,7,7
Beas de Granada,7,7
Beas de Guadix,7,7
Beas de Segura,7,7
Beas,7,7
Bédar,7,7
Bedmar y Garcíez,7,7
Begíjar,7,7
Beires,7,7
Belalcázar,7,7
Bélmez de la Moraleda,7,7
Belmez,7,7
Benacazón,7,7
Benadalid,7,7
Benahadux,7,7
Benahavís,7,7
Benalauría,7,7
Benalmádena,7,7
Benalúa de las Villas,7,7
Benalúa,7,7
Benalup-Casas Viejas,7,7
Benamargosa,7,7
Benamaurel,7,7
Benamejí,7,7
Benamocarra,7,7
Benaocaz,7,7
Benaoján,7,7
Benarrabá,7,7
Benatae,7,7
Benitagla,7,7
Benizalón,7,7
Bentarique,7,7
Bérchules,7,7
Berja,7,7
Berrocal,7,7
Blázquez (Los),4,4
"Blázquez, Los",3,3
Bollullos de la Mitación,7,7
Bollullos Par del Condado,7,7
Bonares,7,7
Borge (El),4,4
"Borge, El",3,3
Bormujos,7,7
Bornos,7,7
Bosque (El),4,4
"Bosque, El",3,3
Brenes,7,7
Bubión,7,7
Bujalance,7,7
Burgo (El),4,4
"Burgo, El",3,3
Burguillos,7,7
Busquístar,7,7
Cabezas de San Juan (Las),4,4
"Cabezas de San Juan, Las",3,3
Cabezas Rubias,7,7
Cabra del Santo Cristo,7,7
Cabra,7,7
Cacín,7,7
Cádiar,7,7
Cádiz,7,7
Cájar,7,7
Cala,7,7
Calahorra (La),4,4
"Calahorra, La",3,3
Calañas,7,7
Calicasas,7,7
Camas,7,7
Cambil,7,7
Campana (La),4,4
"Campana, La",3,3
Campillo de Arenas,7,7
Campillo (El),4,4
"Campillo, El",3,3
Campillos,7,7
Campofrío,7,7
Campotéjar,7,7
Cañada Rosal,7,7
Cáñar,7,7
Cañaveral de León,7,7
Canena,7,7
Cañete de las Torres,7,7
Cañete la Real,7,7
Caniles,7,7
Canillas de Aceituno,7,7
Canillas de Albaida,7,7
Canjáyar,7,7
Cantillana,7,7
Cantoria,7,7
Capileira,7,7
Carataunas,7,7
Carboneras,7,7
Carboneros,7,7
Carcabuey,7,7
Cárcheles,7,7
Cardeña,7,7
Carlota (La),4,4
"Carlota, La",3,3
Carmona,7,7
Carolina (La),4,4
"Carolina, La",3,3
Carpio (El),4,4
"Carpio, El",3,3
Carratraca,7,7
Carrión de los Céspedes,7,7
Cartajima,7,7
Cártama,7,7
Cartaya,7,7
Casabermeja,7,7
Casarabonela,7,7
Casares,7,7
Casariche,7,7
Castaño del Robledo,7,7
Cástaras,7,7
Castellar de la Frontera,7,7
Castellar,7,7
Castilblanco de los Arroyos,7,7
Castilleja de Guzmán,7,7
Castilleja de la Cuesta,7,7
Castilleja del Campo,7,7
Castilléjar,7,7
Castillo de las Guardas (El),4,4
"Castillo de las Guardas, El",3,3
Castillo de Locubín,7,7
Castril,7,7
Castro de Filabres,7,7
Castro del Río,7,7
Cazalilla,7,7
Cazalla de la Sierra,7,7
Cazorla,7,7
Cenes de la Vega,7,7
Cerro de Andévalo (El),4,4
"Cerro de Andévalo, El",3,3
Chauchina,7,7
Chercos,7,7
Chiclana de la Frontera,7,7
Chiclana de Segura,7,7
Chilluévar,7,7
Chimeneas,7,7
Chipiona,7,7
Chirivel,7,7
Chucena,7,7
Churriana de la Vega,7,7
Cijuela,7,7
Cóbdar,7,7
Cogollos de Guadix,7,7
Cogollos de la Vega,7,7
Coín,7,7
Colmenar,7,7
Colomera,7,7
Comares,7,7
Cómpeta,7,7
Conil de la Frontera,7,7
Conquista,7,7
Constantina,7,7
Córdoba,7,7
Coria del Río,7,7
Coripe,7,7
Coronil (El),4,4
"Coronil, El",3,3
Corrales (Los),4,4
"Corrales, Los",3,3
Corteconcepción,7,7
Cortegana,7,7
Cortelazor,7,7
Cortes de Baza,7,7
Cortes de la Frontera,7,7
Cortes y Graena,7,7
Cuervo de Sevilla (El),4,4
"Cuervo de Sevilla, El",3,3
Cuevas Bajas,7,7
Cuevas de San Marcos,7,7
Cuevas del Almanzora,7,7
Cuevas del Becerro,7,7
Cuevas del Campo,7,7
Cúllar Vega,7,7
Cúllar,7,7
Cumbres de Enmedio,7,7
Cumbres de San Bartolomé,7,7
Cumbres Mayores,7,7
Cútar,7,7
Dalías,7,7
Darro,7,7
Dehesas de Guadix,7,7
Dehesas Viejas,7,7
Deifontes,7,7
Diezma,7,7
Dílar,7,7
Dólar,7,7
Domingo Pérez de Granada,7,7
Doña Mencía,7,7
Dos Hermanas,7,7
Dos Torres,7,7
Dúdar,7,7
Dúrcal,7,7
Écija,7,7
Ejido (El),4,4
"Ejido, El",3,3
Encinas Reales,7,7
Encinasola,7,7
Enix,7,7
Escacena del Campo,7,7
Escañuela,7,7
Escúzar,7,7
Espartinas,7,7
Espejo,7,7
Espeluy,7,7
Espera,7,7
Espiel,7,7
Estepa,7,7
Estepona,7,7
Faraján,7,7
Felix,7,7
Fernán-Núñez,7,7
Ferreira,7,7
Fiñana,7,7
Fines,7,7
Fondón,7,7
Fonelas,7,7
Fornes,7,7
Frailes,7,7
Freila,7,7
Frigiliana,7,7
Fuengirola,7,7
Fuensanta de Martos,7,7
Fuente Carreteros,7,7
Fuente de Piedra,7,7
Fuente la Lancha,7,7
Fuente Obejuna,7,7
Fuente Palmera,7,7
Fuente-Tójar,7,7
Fuente Vaqueros,7,7
Fuenteheridos,7,7
Fuentes de Andalucía,7,7
Fuerte del Rey,7,7
Gabias (Las),4,4
"Gabias, Las",3,3
Gádor,7,7
Galaroza,7,7
Galera,7,7
Gallardos (Los),4,4
"Gallardos, Los",3,3
Garrobo (El),4,4
"Garrobo, El",3,3
Garrucha,7,7
Gastor (El),4,4
"Gastor, El",3,3
Gaucín,7,7
Gelves,7,7
Genalguacil,7,7
Génave,7,7
Gerena,7,7
Gérgal,7,7
Gibraleón,7,7
Gilena,7,7
Gines,7,7
Gobernador,7,7
Gójar,7,7
Gor,7,7
Gorafe,7,7
Granada de Río-Tinto (La),4,4
"Granada de Río-Tinto, La",3,3
Granada,7,7
Granado (El),4,4
"Granado, El",3,3
Granjuela (La),4,4
"Granjuela, La",3,3
Grazalema,7,7
Guadahortuna,7,7
Guadalcanal,7,7
Guadalcázar,7,7
Guadix,7,7
Guájares (Los),4,4
"Guájares, Los",3,3
Gualchos,7,7
Guardia de Jaén (La),4,4
"Guardia de Jaén, La",3,3
Guaro,7,7
Guarromán,7,7
Güéjar Sierra,7,7
Güevéjar,7,7
Guijarrosa (La),4,4
"Guijarrosa, La",3,3
Guijo (El),4,4
"Guijo, El",3,3
Guillena,7,7
Herrera,7,7
Higuera de Calatrava,7,7
Higuera de la Sierra,7,7
Hinojales,7,7
Hinojares,7,7
Hinojos,7,7
Hinojosa del Duque,7,7
Hornachuelos,7,7
Hornos,7,7
Huécija,7,7
Huélago,7,7
Huelma,7,7
Huelva,7,7
Huéneja,7,7
Huércal de Almería,7,7
Huércal-Overa,7,7
Huesa,7,7
Huéscar,7,7
Huétor de Santillán,7,7
Huétor Tájar,7,7
Huétor Vega,7,7
Huévar del Aljarafe,7,7
Humilladero,7,7
Ibros,7,7
Igualeja,7,7
Íllar,7,7
Íllora,7,7
Instinción,7,7
Iruela (La),4,4
"Iruela, La",3,3
Isla Cristina,7,7
Isla Mayor,7,7
Istán,7,7
Ítrabo,7,7
Iznájar,7,7
Iznalloz,7,7
Iznate,7,7
Iznatoraf,7,7
Jabalquinto,7,7
Jabugo,7,7
Jaén,7,7
Jamilena,7,7
Játar,7,7
Jayena,7,7
Jerez de la Frontera,7,7
Jérez del Marquesado,7,7
Jete,7,7
Jimena de la Frontera,7,7
Jimena,7,7
Jimera de Líbar,7,7
Jódar,7,7
Jubrique,7,7
Jun,7,7
Juviles,7,7
Júzcar,7,7
Láchar,7,7
Lahiguera,7,7
Lanjarón,7,7
Lanteira,7,7
Lantejuela,7,7
Laroya,7,7
Larva,7,7
Láujar de Andarax,7,7
Lebrija,7,7
Lecrín,7,7
Lentegí,7,7
Lepe,7,7
Líjar,7,7
Linares de la Sierra,7,7
Linares,7,7
Línea de la Concepción (La),4,4
"Línea de la Concepción, La",3,3
Lobras,7,7
Loja,7,7
Lopera,7,7
Lora de Estepa,7,7
Lora del Río,7,7
Lubrín,7,7
Lucainena de las Torres,7,7
Lúcar,7,7
Lucena del Puerto,7,7
Lucena,7,7
Lugros,7,7
Luisiana (La),4,4
"Luisiana, La",3,3
Lújar,7,7
Lupión,7,7
Luque,7,7
Macael,7,7
Macharaviaya,7,7
Madroño (El),4,4
"Madroño, El",3,3
Mairena del Alcor,7,7
Mairena del Aljarafe,7,7
Málaga,7,7
Malahá (La),4,4
"Malahá, La",3,3
Mancha Real,7,7
Manilva,7,7
Manzanilla,7,7
Maracena,7,7
Marbella,7,7
Marchal,7,7
Marchena,7,7
María,7,7
Marinaleda,7,7
Marines (Los),4,4
"Marines, Los",3,3
Marmolejo,7,7
Martín de la Jara,7,7
Martos,7,7
Medina Sidonia,7,7
Mengíbar,7,7
Mijas,7,7
Minas de Riotinto,7,7
Moclín,7,7
Moclinejo,7,7
Moguer,7,7
Mojácar,7,7
Mojonera (La),4,4
"Mojonera, La",3,3
Molares (Los),4,4
"Molares, Los",3,3
Mollina,7,7
Molvízar,7,7
Monachil,7,7
Monda,7,7
Montalbán de Córdoba,7,7
Montecorto,7,7
Montefrío,7,7
Montejaque,7,7
Montejícar,7,7
Montellano,7,7
Montemayor,7,7
Montilla,7,7
Montillana,7,7
Montizón,7,7
Montoro,7,7
Monturque,7,7
Moraleda de Zafayona,7,7
Morelábor,7,7
Moriles,7,7
Morón de la Frontera,7,7
Motril,7,7
Murtas,7,7
Nacimiento,7,7
Nava (La),4,4
"Nava, La",3,3
Navas de la Concepción (Las),4,4
"Navas de la Concepción, Las",3,3
Navas de San Juan,7,7
Nerja,7,7
Nerva,7,7
Nevada,7,7
Niebla,7,7
Nigüelas,7,7
Níjar,7,7
Nívar,7,7
Noalejo,7,7
Nueva Carteya,7,7
Obejo,7,7
Ogíjares,7,7
Ohanes,7,7
Ojén,7,7
Olivares,7,7
Olula de Castro,7,7
Olula del Río,7,7
Olvera,7,7
Orce,7,7
Orcera,7,7
Órgiva,7,7
Oria,7,7
Osuna,7,7
Otívar,7,7
Padul,7,7
Padules,7,7
Palacios y Villafranca (Los),4,4
"Palacios y Villafranca, Los",3,3
Palenciana,7,7
Palma del Condado (La),4,4
"Palma del Condado, La",3,3
Palma del Río,7,7
Palmar de Troya (El),4,4
"Palmar de Troya, El",3,3
Palomares del Río,7,7
Palos de la Frontera,7,7
Pampaneira,7,7
Paradas,7,7
Parauta,7,7
Partaloa,7,7
Paterna de Rivera,7,7
Paterna del Campo,7,7
Paterna del Río,7,7
Paymogo,7,7
Peal de Becerro,7,7
Pechina,7,7
Pedrera,7,7
Pedro Abad,7,7
Pedro Martínez,7,7
Pedroche,7,7
Pedroso (El),4,4
"Pedroso, El",3,3
Pegalajar,7,7
Peligros,7,7
Peñaflor,7,7
Peñarroya-Pueblonuevo,7,7
Periana,7,7
Peza (La),4,4
"Peza, La",3,3
Pilas,7,7
Pinar (El),4,4
"Pinar, El",3,3
Píñar,7,7
Pinos Genil,7,7
Pinos Puente,7,7
Pizarra,7,7
Polícar,7,7
Polopos,7,7
Porcuna,7,7
Pórtugos,7,7
Posadas,7,7
Pozo Alcón,7,7
Pozoblanco,7,7
Prado del Rey,7,7
Priego de Córdoba,7,7
Pruna,7,7
Puebla de Cazalla (La),4,4
"Puebla de Cazalla, La",3,3
Puebla de Don Fadrique,7,7
Puebla de Guzmán,7,7
Puebla de los Infantes (La),4,4
"Puebla de los Infantes, La",3,3
Puebla del Río (La),4,4
