"Year","Municipio","GeoCode","Value"
2019,,,328
2019,,,228
2019,,,100
2019,"Abla","A04001",45.21
2019,"Abrucena","A04002",83.61
2019,"Adra","A04003",89.6
2019,"Albanchez","A04004",34.9
2019,"Alboloduy","A04005",69.68
2019,"Albox","A04006",168.34
2019,"Alcolea","A04007",67.46
2019,"Alcóntar","A04008",93.83
2019,"Alcudia de Monteagud","A04009",15.51
2019,"Alhabia","A04010",16.38
2019,"Alhama de Almería","A04011",26.22
2019,"Alicún","A04012",5.87
2019,"Almería","A04013",295.29
2019,"Almócita","A04014",30.8
2019,"Alsodux","A04015",20.09
2019,"Antas","A04016",99.67
2019,"Arboleas","A04017",66.1
2019,"Armuña de Almanzora","A04018",7.72
2019,"Bacares","A04019",94.45
2019,"Balanegra","A04904",31.58
2019,"Bayárcal","A04020",37.99
2019,"Bayarque","A04021",26.34
2019,"Bédar","A04022",46.69
2019,"Beires","A04023",38.8
2019,"Benahadux","A04024",16.6
2019,"Benitagla","A04026",6.39
2019,"Benizalón","A04027",31.95
2019,"Bentarique","A04028",11.33
2019,"Berja","A04029",185.66
2019,"Canjáyar","A04030",66.87
2019,"Cantoria","A04031",78.89
2019,"Carboneras","A04032",95.51
2019,"Castro de Filabres","A04033",29.21
2019,"Chercos","A04036",13.55
2019,"Chirivel","A04037",196.33
2019,"Cóbdar","A04034",31.97
2019,"Cuevas del Almanzora","A04035",263.77
2019,"Dalías","A04038",141.32
2019,"Ejido (El)","A04902",225.21
2019,"Enix","A04041",66.78
2019,"Felix","A04043",81.2
2019,"Fines","A04044",23.06
2019,"Fiñana","A04045",133.85
2019,"Fondón","A04046",91.09
2019,"Gádor","A04047",87.6
2019,"Gallardos (Los)","A04048",34.88
2019,"Garrucha","A04049",7.76
2019,"Gérgal","A04050",229.31
2019,"Huécija","A04051",19
2019,"Huércal de Almería","A04052",20.91
2019,"Huércal-Overa","A04053",317.97
2019,"Íllar","A04054",19.17
2019,"Instinción","A04055",33.46
2019,"Laroya","A04056",21.63
2019,"Láujar de Andarax","A04057",92.74
2019,"Líjar","A04058",28.22
2019,"Lubrín","A04059",138.05
2019,"Lucainena de las Torres","A04060",123.12
2019,"Lúcar","A04061",100.58
2019,"Macael","A04062",43.77
2019,"María","A04063",225.46
2019,"Mojácar","A04064",71.41
2019,"Mojonera (La)","A04903",23.85
2019,"Nacimiento","A04065",80.7
2019,"Níjar","A04066",599.27
2019,"Ohanes","A04067",32.39
2019,"Olula de Castro","A04068",33.58
2019,"Olula del Río","A04069",23.5
2019,"Oria","A04070",234.54
2019,"Padules","A04071",26.47
2019,"Partaloa","A04072",52.57
2019,"Paterna del Río","A04073",45.44
2019,"Pechina","A04074",46.02
2019,"Pulpí","A04075",94.45
2019,"Purchena","A04076",56.62
2019,"Rágol","A04077",26.9
2019,"Rioja","A04078",36.38
2019,"Roquetas de Mar","A04079",59.67
2019,"Santa Cruz de Marchena","A04080",19.96
2019,"Santa Fe de Mondújar","A04081",34.84
2019,"Senés","A04082",50.21
2019,"Serón","A04083",166.16
2019,"Sierro","A04084",27.62
2019,"Somontín","A04085",16.18
2019,"Sorbas","A04086",249
2019,"Suflí","A04087",10.09
2019,"Tabernas","A04088",280.17
2019,"Taberno","A04089",44.03
2019,"Tahal","A04090",94.53
2019,"Terque","A04091",15.71
2019,"Tíjola","A04092",67.68
2019,"Tres Villas (Las)","A04901",85.29
2019,"Turre","A04093",107.89
2019,"Turrillas","A04094",39.14
