"Year","Grado urbanización","Municipio","GeoCode","Value"
2019,"Ciudades","","",55.63
2019,"Zona de densidad intermedia","","",67.25
2019,"Zona rural","","",50.43
2019,"","","",59.67
2019,"Zona rural","Abla","04001",40.48
2019,"Zona rural","Abrucena","04002",35.45
2019,"Zona de densidad intermedia","Adra","04003",62.86
2019,"Zona rural","Albanchez","04004",34.26
2019,"Zona rural","Alboloduy","04005",59.2
2019,"Zona de densidad intermedia","Albox","04006",63.36
2019,"Zona rural","Alcolea","04007",51.99
2019,"Zona rural","Alcóntar","04008",33.02
2019,"Zona rural","Alcudia de Monteagud","04009",18.58
2019,"Zona rural","Alhabia","04010",64.67
2019,"Zona rural","Alhama de Almería","04011",57.7
2019,"Zona rural","Alicún","04012",61.84
2019,"Ciudades","Almería","04013",53.37
2019,"Zona rural","Almócita","04014",66.93
2019,"Zona rural","Alsodux","04015",68.24
2019,"Zona rural","Antas","04016",64.51
2019,"Zona rural","Arboleas","04017",81.5
2019,"Zona rural","Armuña de Almanzora","04018",57.95
2019,"Zona rural","Bacares","04019",30.77
2019,"Zona rural","Bayárcal","04020",58.85
2019,"Zona rural","Bayarque","04021",36.67
2019,"Zona rural","Bédar","04022",65.19
2019,"Zona rural","Beires","04023",57.24
2019,"Zona de densidad intermedia","Benahadux","04024",70.24
2019,"Zona rural","Benitagla","04026",16.07
2019,"Zona rural","Benizalón","04027",25.51
2019,"Zona rural","Bentarique","04028",43.35
2019,"Zona de densidad intermedia","Berja","04029",56.71
2019,"Zona rural","Canjáyar","04030",36.96
2019,"Zona rural","Cantoria","04031",51.8
2019,"Zona de densidad intermedia","Carboneras","04032",82.9
2019,"Zona rural","Castro de Filabres","04033",28.57
2019,"Zona rural","Cóbdar","04034",26.15
2019,"Zona de densidad intermedia","Cuevas del Almanzora","04035",73.3
2019,"Zona rural","Chercos","04036",41.22
2019,"Zona rural","Chirivel","04037",47.75
2019,"Zona rural","Dalías","04038",56.6
2019,"Zona rural","Enix","04041",71.37
2019,"Zona rural","Felix","04043",57.48
2019,"Zona rural","Fines","04044",71.5
2019,"Zona rural","Fiñana","04045",33.53
2019,"Zona rural","Fondón","04046",86.99
2019,"Zona rural","Gádor","04047",98.77
2019,"Zona rural","Gallardos, Los","04048",74.8
2019,"Zona de densidad intermedia","Garrucha","04049",95.32
2019,"Zona rural","Gérgal","04050",35.86
2019,"Zona rural","Huécija","04051",72.02
2019,"Ciudades","Huércal de Almería","04052",85.18
2019,"Zona de densidad intermedia","Huércal-Overa","04053",66.55
2019,"Zona rural","Íllar","04054",48.75
2019,"Zona rural","Instinción","04055",49.88
2019,"Zona rural","Laroya","04056",21.12
2019,"Zona rural","Láujar de Andarax","04057",47.43
2019,"Zona rural","Líjar","04058",46.61
2019,"Zona rural","Lubrín","04059",29.77
2019,"Zona rural","Lucainena de las Torres","04060",36.18
2019,"Zona rural","Lúcar","04061",45.6
2019,"Zona de densidad intermedia","Macael","04062",57.8
2019,"Zona rural","María","04063",35.61
2019,"Zona rural","Mojácar","04064",88.31
2019,"Zona rural","Nacimiento","04065",15.81
2019,"Zona de densidad intermedia","Níjar","04066",85.08
2019,"Zona rural","Ohanes","04067",44.21
2019,"Zona rural","Olula de Castro","04068",14.87
2019,"Zona de densidad intermedia","Olula del Río","04069",62.81
2019,"Zona rural","Oria","04070",37.26
2019,"Zona rural","Padules","04071",40.16
2019,"Zona rural","Partaloa","04072",67.75
2019,"Zona rural","Paterna del Río","04073",76.67
2019,"Zona de densidad intermedia","Pechina","04074",78.98
2019,"Zona de densidad intermedia","Pulpí","04075",81.23
2019,"Zona rural","Purchena","04076",50.18
2019,"Zona rural","Rágol","04077",27.6
2019,"Zona rural","Rioja","04078",46.55
2019,"Zona de densidad intermedia","Roquetas de Mar","04079",88.17
2019,"Zona rural","Santa Cruz de Marchena","04080",54.71
2019,"Zona rural","Santa Fe de Mondújar","04081",35.91
2019,"Zona rural","Senés","04082",37.66
2019,"Zona rural","Serón","04083",35.91
2019,"Zona rural","Sierro","04084",30.63
2019,"Zona rural","Somontín","04085",38.59
2019,"Zona rural","Sorbas","04086",49.86
2019,"Zona rural","Suflí","04087",38
2019,"Zona rural","Tabernas","04088",56.41
2019,"Zona rural","Taberno","04089",51.62
2019,"Zona rural","Tahal","04090",24.68
2019,"Zona rural","Terque","04091",73.12
2019,"Zona rural","Tíjola","04092",53.27
2019,"Zona rural","Turre","04093",78.76
2019,"Zona rural","Turrillas","04094",34.09
2019,"Zona rural","Uleila del Campo","04095",35.6
2019,"Zona rural","Urrácal","04096",44.55
2019,"Zona rural","Velefique","04097",15.73
2019,"Zona rural","Vélez-Blanco","04098",47.87
2019,"Zona de densidad intermedia","Vélez-Rubio","04099",52.61
2019,"Zona de densidad intermedia","Vera","04100",96.2
2019,"Ciudades","Viator","04101",74.71
2019,"Ciudades","Vícar","04102",88.11
2019,"Zona rural","Zurgena","04103",64.79
2019,"Zona rural","Tres Villas, Las","04901",24.24
2019,"Zona de densidad intermedia","Ejido, El","04902",85.23
2019,"Zona de densidad intermedia","Mojonera, La","04903",70.74
2019,"Zona rural","Balanegra","04904",82.65
2019,"Zona rural","Alcalá de los Gazules","11001",49.35
2019,"Zona rural","Alcalá del Valle","11002",56.25
2019,"Zona rural","Algar","11003",44.44
2019,"Ciudades","Algeciras","11004",58.49
2019,"Zona rural","Algodonales","11005",51.96
2019,"Zona de densidad intermedia","Arcos de la Frontera","11006",60.79
2019,"Zona de densidad intermedia","Barbate","11007",56.33
2019,"Zona de densidad intermedia","Barrios, Los","11008",83.7
2019,"Zona rural","Benaocaz","11009",78.81
2019,"Zona de densidad intermedia","Bornos","11010",55.38
2019,"Zona rural","Bosque, El","11011",66.71
2019,"Ciudades","Cádiz","11012",37.88
2019,"Zona rural","Castellar de la Frontera","11013",72.2
2019,"Zona de densidad intermedia","Conil de la Frontera","11014",77.4
2019,"Ciudades","Chiclana de la Frontera","11015",83.2
2019,"Zona de densidad intermedia","Chipiona","11016",66.08
2019,"Zona rural","Espera","11017",75.72
2019,"Zona rural","Gastor, El","11018",53.5
2019,"Zona rural","Grazalema","11019",61.5
2019,"Ciudades","Jerez de la Frontera","11020",58.03
2019,"Zona rural","Jimena de la Frontera","11021",50.64
2019,"Ciudades","Línea de la Concepción, La","11022",55.56
2019,"Zona de densidad intermedia","Medina Sidonia","11023",65.99
2019,"Zona de densidad intermedia","Olvera","11024",49.13
2019,"Zona de densidad intermedia","Paterna de Rivera","11025",71.21
2019,"Zona de densidad intermedia","Prado del Rey","11026",61.3
2019,"Ciudades","Puerto de Santa María, El","11027",67.44
2019,"Zona de densidad intermedia","Puerto Real","11028",71.63
2019,"Zona de densidad intermedia","Puerto Serrano","11029",68.22
2019,"Zona de densidad intermedia","Rota","11030",69.9
2019,"Ciudades","San Fernando","11031",59.04
2019,"Ciudades","Sanlúcar de Barrameda","11032",66.08
2019,"Zona de densidad intermedia","San Roque","11033",69.46
2019,"Zona rural","Setenil de las Bodegas","11034",37.44
2019,"Zona de densidad intermedia","Tarifa","11035",72.38
2019,"Zona rural","Torre Alháquime","11036",54.06
2019,"Zona de densidad intermedia","Trebujena","11037",59.61
2019,"Zona de densidad intermedia","Ubrique","11038",50.6
2019,"Zona de densidad intermedia","Vejer de la Frontera","11039",56.55
2019,"Zona rural","Villaluenga del Rosario","11040",57.51
2019,"Zona de densidad intermedia","Villamartín","11041",57.79
2019,"Zona rural","Zahara","11042",60.48
2019,"Zona de densidad intermedia","Benalup-Casas Viejas","11901",75.3
2019,"Zona rural","San José del Valle","11902",50.92
2019,"Zona rural","San Martín del Tesorillo","11903",48.63
2019,"Zona rural","Adamuz","14001",47.07
2019,"Zona de densidad intermedia","Aguilar de la Frontera","14002",57.77
2019,"Zona rural","Alcaracejos","14003",54.59
2019,"Zona rural","Almedinilla","14004",54.12
2019,"Zona de densidad intermedia","Almodóvar del Río","14005",59.3
2019,"Zona rural","Añora","14006",62.93
2019,"Zona de densidad intermedia","Baena","14007",61.01
2019,"Zona rural","Belalcázar","14008",21.14
2019,"Zona rural","Belmez","14009",23.57
2019,"Zona rural","Benamejí","14010",63.07
2019,"Zona rural","Blázquez, Los","14011",28.23
2019,"Zona de densidad intermedia","Bujalance","14012",42.23
2019,"Zona de densidad intermedia","Cabra","14013",60.02
2019,"Zona rural","Cañete de las Torres","14014",45.17
2019,"Zona rural","Carcabuey","14015",66.13
2019,"Zona rural","Cardeña","14016",49.24
2019,"Zona de densidad intermedia","Carlota, La","14017",74.93
2019,"Zona rural","Carpio, El","14018",42.98
2019,"Zona de densidad intermedia","Castro del Río","14019",60.11
2019,"Zona rural","Conquista","14020",54.84
2019,"Ciudades","Córdoba","14021",49.35
2019,"Zona rural","Doña Mencía","14022",59.78
2019,"Zona rural","Dos Torres","14023",55.73
2019,"Zona rural","Encinas Reales","14024",49.88
2019,"Zona rural","Espejo","14025",48.55
2019,"Zona rural","Espiel","14026",33.08
2019,"Zona de densidad intermedia","Fernán-Núñez","14027",60.6
2019,"Zona rural","Fuente la Lancha","14028",30.23
2019,"Zona rural","Fuente Obejuna","14029",41.4
2019,"Zona de densidad intermedia","Fuente Palmera","14030",70.1
2019,"Zona rural","Fuente-Tójar","14031",43.21
2019,"Zona rural","Granjuela, La","14032",38.58
2019,"Zona rural","Guadalcázar","14033",65.47
2019,"Zona rural","Guijo, El","14034",30.61
2019,"Zona de densidad intermedia","Hinojosa del Duque","14035",35.4
2019,"Zona rural","Hornachuelos","14036",50.1
2019,"Zona rural","Iznájar","14037",43.33
2019,"Zona de densidad intermedia","Lucena","14038",75.33
2019,"Zona rural","Luque","14039",59.94
2019,"Zona de densidad intermedia","Montalbán de Córdoba","14040",61.9
2019,"Zona rural","Montemayor","14041",62.48
2019,"Zona de densidad intermedia","Montilla","14042",58.97
2019,"Zona de densidad intermedia","Montoro","14043",44.71
2019,"Zona rural","Monturque","14044",72.36
2019,"Zona rural","Moriles","14045",58.35
2019,"Zona de densidad intermedia","Nueva Carteya","14046",60.94
2019,"Zona rural","Obejo","14047",44.23
2019,"Zona rural","Palenciana","14048",74.12
2019,"Zona de densidad intermedia","Palma del Río","14049",58.31
2019,"Zona rural","Pedro Abad","14050",49.84
2019,"Zona rural","Pedroche","14051",37.79
2019,"Zona de densidad intermedia","Peñarroya-Pueblonuevo","14052",22.08
2019,"Zona de densidad intermedia","Posadas","14053",56.3
