Year,Dimension,Municipio,GeoCode,Value
2019,valor total Andalucia,,,328.0
2019,valor municipio,Abla,4001.0,45.21
2019,valor municipio,Abrucena,4002.0,83.61
2019,valor municipio,Adra,4003.0,89.6
2019,valor municipio,Albanchez,4004.0,34.9
2019,valor municipio,Alboloduy,4005.0,69.68
2019,valor municipio,Albox,4006.0,168.34
2019,valor municipio,Alcolea,4007.0,67.46
2019,valor municipio,Alcóntar,4008.0,93.83
2019,valor municipio,Alcudia de Monteagud,4009.0,15.51
2019,valor municipio,Alhabia,4010.0,16.38
2019,valor municipio,Alhama de Almería,4011.0,26.22
2019,valor municipio,Alicún,4012.0,5.87
2019,valor municipio,Almería,4013.0,295.29
2019,valor municipio,Almócita,4014.0,30.8
2019,valor municipio,Alsodux,4015.0,20.09
2019,valor municipio,Antas,4016.0,99.67
2019,valor municipio,Arboleas,4017.0,66.1
2019,valor municipio,Armuña de Almanzora,4018.0,7.72
2019,valor municipio,Bacares,4019.0,94.45
2019,valor municipio,Balanegra,4904.0,31.58
2019,valor municipio,Bayárcal,4020.0,37.99
2019,valor municipio,Bayarque,4021.0,26.34
2019,valor municipio,Bédar,4022.0,46.69
2019,valor municipio,Beires,4023.0,38.8
2019,valor municipio,Benahadux,4024.0,16.6
2019,valor municipio,Benitagla,4026.0,6.39
2019,valor municipio,Benizalón,4027.0,31.95
2019,valor municipio,Bentarique,4028.0,11.33
2019,valor municipio,Berja,4029.0,185.66
2019,valor municipio,Canjáyar,4030.0,66.87
2019,valor municipio,Cantoria,4031.0,78.89
2019,valor municipio,Carboneras,4032.0,95.51
2019,valor municipio,Castro de Filabres,4033.0,29.21
2019,valor municipio,Chercos,4036.0,13.55
2019,valor municipio,Chirivel,4037.0,196.33
2019,valor municipio,Cóbdar,4034.0,31.97
2019,valor municipio,Cuevas del Almanzora,4035.0,263.77
2019,valor municipio,Dalías,4038.0,141.32
2019,valor municipio,Ejido (El),4902.0,225.21
2019,valor municipio,Enix,4041.0,66.78
2019,valor municipio,Felix,4043.0,81.2
2019,valor municipio,Fines,4044.0,23.06
2019,valor municipio,Fiñana,4045.0,133.85
2019,valor municipio,Fondón,4046.0,91.09
2019,valor municipio,Gádor,4047.0,87.6
2019,valor municipio,Gallardos (Los),4048.0,34.88
2019,valor municipio,Garrucha,4049.0,7.76
2019,valor municipio,Gérgal,4050.0,229.31
2019,valor municipio,Huécija,4051.0,19.0
2019,valor municipio,Huércal de Almería,4052.0,20.91
2019,valor municipio,Huércal-Overa,4053.0,317.97
2019,valor municipio,Íllar,4054.0,19.17
2019,valor municipio,Instinción,4055.0,33.46
2019,valor municipio,Laroya,4056.0,21.63
2019,valor municipio,Láujar de Andarax,4057.0,92.74
2019,valor municipio,Líjar,4058.0,28.22
2019,valor municipio,Lubrín,4059.0,138.05
2019,valor municipio,Lucainena de las Torres,4060.0,123.12
2019,valor municipio,Lúcar,4061.0,100.58
2019,valor municipio,Macael,4062.0,43.77
2019,valor municipio,María,4063.0,225.46
2019,valor municipio,Mojácar,4064.0,71.41
2019,valor municipio,Mojonera (La),4903.0,23.85
2019,valor municipio,Nacimiento,4065.0,80.7
2019,valor municipio,Níjar,4066.0,599.27
2019,valor municipio,Ohanes,4067.0,32.39
2019,valor municipio,Olula de Castro,4068.0,33.58
2019,valor municipio,Olula del Río,4069.0,23.5
2019,valor municipio,Oria,4070.0,234.54
2019,valor municipio,Padules,4071.0,26.47
2019,valor municipio,Partaloa,4072.0,52.57
2019,valor municipio,Paterna del Río,4073.0,45.44
2019,valor municipio,Pechina,4074.0,46.02
2019,valor municipio,Pulpí,4075.0,94.45
2019,valor municipio,Purchena,4076.0,56.62
2019,valor municipio,Rágol,4077.0,26.9
2019,valor municipio,Rioja,4078.0,36.38
2019,valor municipio,Roquetas de Mar,4079.0,59.67
2019,valor municipio,Santa Cruz de Marchena,4080.0,19.96
2019,valor municipio,Santa Fe de Mondújar,4081.0,34.84
2019,valor municipio,Senés,4082.0,50.21
2019,valor municipio,Serón,4083.0,166.16
2019,valor municipio,Sierro,4084.0,27.62
2019,valor municipio,Somontín,4085.0,16.18
2019,valor municipio,Sorbas,4086.0,249.0
2019,valor municipio,Suflí,4087.0,10.09
2019,valor municipio,Tabernas,4088.0,280.17
2019,valor municipio,Taberno,4089.0,44.03
2019,valor municipio,Tahal,4090.0,94.53
2019,valor municipio,Terque,4091.0,15.71
2019,valor municipio,Tíjola,4092.0,67.68
2019,valor municipio,Tres Villas (Las),4901.0,85.29
2019,valor municipio,Turre,4093.0,107.89
2019,valor municipio,Turrillas,4094.0,39.14
2019,valor municipio,Uleila del Campo,4095.0,38.64
2019,valor municipio,Urrácal,4096.0,25.45
2019,valor municipio,Velefique,4097.0,66.39
2019,valor municipio,Vélez-Blanco,4098.0,441.02
2019,valor municipio,Vélez-Rubio,4099.0,281.87
2019,valor municipio,Vera,4100.0,57.54
2019,valor municipio,Viator,4101.0,20.61
2019,valor municipio,Vícar,4102.0,64.29
2019,valor municipio,Zurgena,4103.0,71.63
2019,valor municipio,Alcalá de los Gazules,11001.0,479.78
2019,valor municipio,Alcalá del Valle,11002.0,46.9
2019,valor municipio,Algar,11003.0,26.62
2019,valor municipio,Algeciras,11004.0,85.71
2019,valor municipio,Algodonales,11005.0,134.1
2019,valor municipio,Arcos de la Frontera,11006.0,527.17
2019,valor municipio,Barbate,11007.0,143.21
2019,valor municipio,Barrios (Los),11008.0,330.63
2019,valor municipio,Benalup-Casas Viejas,11901.0,60.41
2019,valor municipio,Benaocaz,11009.0,69.42
2019,valor municipio,Bornos,11010.0,55.11
2019,valor municipio,Bosque (El),11011.0,30.76
2019,valor municipio,Cádiz,11012.0,11.91
2019,valor municipio,Castellar de la Frontera,11013.0,180.52
2019,valor municipio,Chiclana de la Frontera,11015.0,206.06
2019,valor municipio,Chipiona,11016.0,32.91
2019,valor municipio,Conil de la Frontera,11014.0,88.09
2019,valor municipio,Espera,11017.0,123.53
2019,valor municipio,Gastor (El),11018.0,27.55
2019,valor municipio,Grazalema,11019.0,122.45
2019,valor municipio,Jerez de la Frontera,11020.0,1189.05
2019,valor municipio,Jimena de la Frontera,11021.0,298.54
2019,valor municipio,Línea de la Concepción (La),11022.0,26.16
2019,valor municipio,Medina Sidonia,11023.0,487.25
2019,valor municipio,Olvera,11024.0,193.74
2019,valor municipio,Paterna de Rivera,11025.0,13.84
2019,valor municipio,Prado del Rey,11026.0,48.6
2019,valor municipio,Puerto de Santa María (El),11027.0,159.1
2019,valor municipio,Puerto Real,11028.0,196.16
2019,valor municipio,Puerto Serrano,11029.0,79.88
2019,valor municipio,Rota,11030.0,84.17
2019,valor municipio,San Fernando,11031.0,30.69
2019,valor municipio,San José del Valle,11902.0,224.01
2019,valor municipio,San Martín del Tesorillo,11903.0,48.46
2019,valor municipio,San Roque,11033.0,139.43
2019,valor municipio,Sanlúcar de Barrameda,11032.0,170.5
2019,valor municipio,Setenil de las Bodegas,11034.0,82.16
2019,valor municipio,Tarifa,11035.0,419.51
2019,valor municipio,Torre Alháquime,11036.0,17.36
2019,valor municipio,Trebujena,11037.0,70.81
2019,valor municipio,Ubrique,11038.0,69.78
2019,valor municipio,Vejer de la Frontera,11039.0,263.09
2019,valor municipio,Villaluenga del Rosario,11040.0,59.48
2019,valor municipio,Villamartín,11041.0,211.98
2019,valor municipio,Zahara,11042.0,72.51
2019,valor municipio,Adamuz,14001.0,334.89
2019,valor municipio,Aguilar de la Frontera,14002.0,166.01
2019,valor municipio,Alcaracejos,14003.0,175.85
2019,valor municipio,Almedinilla,14004.0,55.48
2019,valor municipio,Almodóvar del Río,14005.0,172.52
2019,valor municipio,Añora,14006.0,112.49
2019,valor municipio,Baena,14007.0,362.16
2019,valor municipio,Belalcázar,14008.0,355.96
2019,valor municipio,Belmez,14009.0,207.41
2019,valor municipio,Benamejí,14010.0,53.33
2019,valor municipio,Blázquez (Los),14011.0,102.77
2019,valor municipio,Bujalance,14012.0,124.76
2019,valor municipio,Cabra,14013.0,229.13
2019,valor municipio,Cañete de las Torres,14014.0,103.47
2019,valor municipio,Carcabuey,14015.0,79.78
2019,valor municipio,Cardeña,14016.0,512.59
2019,valor municipio,Carlota (La),14017.0,79.07
2019,valor municipio,Carpio (El),14018.0,46.66
2019,valor municipio,Castro del Río,14019.0,219.64
2019,valor municipio,Conquista,14020.0,38.52
2019,valor municipio,Córdoba,14021.0,1253.91
2019,valor municipio,Doña Mencía,14022.0,15.3
2019,valor municipio,Dos Torres,14023.0,129.14
2019,valor municipio,Encinas Reales,14024.0,33.35
2019,valor municipio,Espejo,14025.0,56.46
2019,valor municipio,Espiel,14026.0,437.27
2019,valor municipio,Fernán-Núñez,14027.0,30.17
2019,valor municipio,Fuente Carreteros,14901.0,9.35
2019,valor municipio,Fuente la Lancha,14028.0,7.83
2019,valor municipio,Fuente Obejuna,14029.0,591.6
2019,valor municipio,Fuente Palmera,14030.0,65.38
2019,valor municipio,Fuente-Tójar,14031.0,23.65
2019,valor municipio,Granjuela (La),14032.0,56.16
2019,valor municipio,Guadalcázar,14033.0,72.36
2019,valor municipio,Guijarrosa (La),14902.0,45.66
2019,valor municipio,Guijo (El),14034.0,67.26
2019,valor municipio,Hinojosa del Duque,14035.0,531.5
2019,valor municipio,Hornachuelos,14036.0,909.4
2019,valor municipio,Iznájar,14037.0,136.48
2019,valor municipio,Lucena,14038.0,351.93
2019,valor municipio,Luque,14039.0,140.62
2019,valor municipio,Montalbán de Córdoba,14040.0,34.05
2019,valor municipio,Montemayor,14041.0,57.94
2019,valor municipio,Montilla,14042.0,168.98
