Year,Grado urbanización,Municipio,GeoCode,Value
2019,Ciudades,,,6.84
2019,Zona de densidad intermedia,,,9.09
2019,Zona rural,,,7.84
2019,,,,7.92
2019,Zona rural,Abla,4001.0,7.44
2019,Zona rural,Abrucena,4002.0,6.46
2019,Zona de densidad intermedia,Adra,4003.0,10.46
2019,Zona rural,Albanchez,4004.0,3.09
2019,Zona rural,Alboloduy,4005.0,3.04
2019,Zona de densidad intermedia,Albox,4006.0,11.68
2019,Zona rural,Alcolea,4007.0,8.69
2019,Zona rural,Alcóntar,4008.0,2.18
2019,Zona rural,Alcudia de Monteagud,4009.0,2.19
2019,Zona rural,Alhabia,4010.0,13.33
2019,Zona rural,Alhama de Almería,4011.0,10.45
2019,Zona rural,Alicún,4012.0,1.32
2019,Ciudades,Almería,4013.0,9.3
2019,Zona rural,Almócita,4014.0,0.79
2019,Zona rural,Alsodux,4015.0,6.08
2019,Zona rural,Antas,4016.0,5.32
2019,Zona rural,Arboleas,4017.0,11.65
2019,Zona rural,Armuña de Almanzora,4018.0,15.23
2019,Zona rural,Bacares,4019.0,5.13
2019,Zona rural,Bayárcal,4020.0,3.83
2019,Zona rural,Bayarque,4021.0,7.62
2019,Zona rural,Bédar,4022.0,8.84
2019,Zona rural,Beires,4023.0,3.29
2019,Zona de densidad intermedia,Benahadux,4024.0,9.29
2019,Zona rural,Benitagla,4026.0,0.89
2019,Zona rural,Benizalón,4027.0,1.45
2019,Zona rural,Bentarique,4028.0,6.87
2019,Zona de densidad intermedia,Berja,4029.0,8.26
2019,Zona rural,Canjáyar,4030.0,5.86
2019,Zona rural,Cantoria,4031.0,6.74
2019,Zona de densidad intermedia,Carboneras,4032.0,13.85
2019,Zona rural,Castro de Filabres,4033.0,2.14
2019,Zona rural,Cóbdar,4034.0,2.69
2019,Zona de densidad intermedia,Cuevas del Almanzora,4035.0,10.19
2019,Zona rural,Chercos,4036.0,4.66
2019,Zona rural,Chirivel,4037.0,9.51
2019,Zona rural,Dalías,4038.0,13.81
2019,Zona rural,Enix,4041.0,29.43
2019,Zona rural,Felix,4043.0,5.4
2019,Zona rural,Fines,4044.0,15.62
2019,Zona rural,Fiñana,4045.0,5.85
2019,Zona rural,Fondón,4046.0,14.13
2019,Zona rural,Gádor,4047.0,9.13
2019,Zona rural,"Gallardos, Los",4048.0,4.45
2019,Zona de densidad intermedia,Garrucha,4049.0,11.31
2019,Zona rural,Gérgal,4050.0,9.24
2019,Zona rural,Huécija,4051.0,7.48
2019,Ciudades,Huércal de Almería,4052.0,6.96
2019,Zona de densidad intermedia,Huércal-Overa,4053.0,11.74
2019,Zona rural,Íllar,4054.0,7.52
2019,Zona rural,Instinción,4055.0,9.55
2019,Zona rural,Laroya,4056.0,4.35
2019,Zona rural,Láujar de Andarax,4057.0,5.8
2019,Zona rural,Líjar,4058.0,12.74
2019,Zona rural,Lubrín,4059.0,4.22
2019,Zona rural,Lucainena de las Torres,4060.0,5.53
2019,Zona rural,Lúcar,4061.0,5.92
2019,Zona de densidad intermedia,Macael,4062.0,6.84
2019,Zona rural,María,4063.0,3.37
2019,Zona rural,Mojácar,4064.0,7.36
2019,Zona rural,Nacimiento,4065.0,5.57
2019,Zona de densidad intermedia,Níjar,4066.0,7.32
2019,Zona rural,Ohanes,4067.0,7.11
2019,Zona rural,Olula de Castro,4068.0,2.56
2019,Zona de densidad intermedia,Olula del Río,4069.0,12.08
2019,Zona rural,Oria,4070.0,7.78
2019,Zona rural,Padules,4071.0,7.82
2019,Zona rural,Partaloa,4072.0,4.05
2019,Zona rural,Paterna del Río,4073.0,12.38
2019,Zona de densidad intermedia,Pechina,4074.0,12.89
2019,Zona de densidad intermedia,Pulpí,4075.0,30.51
2019,Zona rural,Purchena,4076.0,11.08
2019,Zona rural,Rágol,4077.0,6.49
2019,Zona rural,Rioja,4078.0,4.6
2019,Zona de densidad intermedia,Roquetas de Mar,4079.0,14.02
2019,Zona rural,Santa Cruz de Marchena,4080.0,1.76
2019,Zona rural,Santa Fe de Mondújar,4081.0,4.49
2019,Zona rural,Senés,4082.0,2.34
2019,Zona rural,Serón,4083.0,5.99
2019,Zona rural,Sierro,4084.0,8.9
2019,Zona rural,Somontín,4085.0,3.53
2019,Zona rural,Sorbas,4086.0,8.72
2019,Zona rural,Suflí,4087.0,14.5
2019,Zona rural,Tabernas,4088.0,13.18
2019,Zona rural,Taberno,4089.0,6.32
2019,Zona rural,Tahal,4090.0,1.27
2019,Zona rural,Terque,4091.0,29.38
2019,Zona rural,Tíjola,4092.0,10.73
2019,Zona rural,Turre,4093.0,9.69
2019,Zona rural,Turrillas,4094.0,2.27
2019,Zona rural,Uleila del Campo,4095.0,7.24
2019,Zona rural,Urrácal,4096.0,5.92
2019,Zona rural,Velefique,4097.0,1.87
2019,Zona rural,Vélez-Blanco,4098.0,6.47
2019,Zona de densidad intermedia,Vélez-Rubio,4099.0,8.0
2019,Zona de densidad intermedia,Vera,4100.0,9.45
2019,Ciudades,Viator,4101.0,12.93
2019,Ciudades,Vícar,4102.0,16.85
2019,Zona rural,Zurgena,4103.0,3.67
2019,Zona rural,"Tres Villas, Las",4901.0,8.9
2019,Zona de densidad intermedia,"Ejido, El",4902.0,12.16
2019,Zona de densidad intermedia,"Mojonera, La",4903.0,4.55
2019,Zona rural,Balanegra,4904.0,5.64
2019,Zona rural,Alcalá de los Gazules,11001.0,8.79
2019,Zona rural,Alcalá del Valle,11002.0,8.33
2019,Zona rural,Algar,11003.0,10.06
2019,Ciudades,Algeciras,11004.0,6.61
2019,Zona rural,Algodonales,11005.0,7.43
2019,Zona de densidad intermedia,Arcos de la Frontera,11006.0,8.0
2019,Zona de densidad intermedia,Barbate,11007.0,5.0
2019,Zona de densidad intermedia,"Barrios, Los",11008.0,9.05
2019,Zona rural,Benaocaz,11009.0,10.66
2019,Zona de densidad intermedia,Bornos,11010.0,7.13
2019,Zona rural,"Bosque, El",11011.0,6.82
2019,Ciudades,Cádiz,11012.0,5.1
2019,Zona rural,Castellar de la Frontera,11013.0,4.91
2019,Zona de densidad intermedia,Conil de la Frontera,11014.0,12.07
2019,Ciudades,Chiclana de la Frontera,11015.0,6.93
2019,Zona de densidad intermedia,Chipiona,11016.0,4.88
2019,Zona rural,Espera,11017.0,8.42
2019,Zona rural,"Gastor, El",11018.0,8.16
2019,Zona rural,Grazalema,11019.0,2.92
2019,Ciudades,Jerez de la Frontera,11020.0,6.8
2019,Zona rural,Jimena de la Frontera,11021.0,5.86
2019,Ciudades,"Línea de la Concepción, La",11022.0,8.23
2019,Zona de densidad intermedia,Medina Sidonia,11023.0,11.27
2019,Zona de densidad intermedia,Olvera,11024.0,9.61
